Albania;Albanien(Europa)
Andorra;Andorra(Europa)
Austria;Österreich(Europa)
Belgium;Belgien(Europa)
Belorussia;Weißrussland, Belarus(Europa)
Bosnia-Herzegovina;Bosnien-Herzegowina(Europa)
Bulgaria;Bulgarien(Europa)
Croatia;Kroatien(Europa)
Cyprus;Zypern(Europa)
Czech Republic;Tschechien(Europa)
Denmark;Dänemark(Europa)
Estonia;Estland(Europa)
Finland;Finnland(Europa)
France;Frankreich(Europa)
Germany;Deutschland(Europa)
Greece;Griechenland(Europa)
Hungary;Ungarn(Europa)
Iceland;Island(Europa)
Ireland;Irland(Europa)
Italy;Italien(Europa)
Kosovo;Kosovo(Europa)
Latvia;Lettland(Europa)
Liechtenstein;Liechtenstein(Europa)
Lithuania;Litauen(Europa)
Luxembourg;Luxemburg(Europa)
Macedonia;Mazedonien(Europa)
Malta;Malta(Europa)
Moldova;Moldavien(Europa)
Monaco;Monaco(Europa)
Montenegro;Montenegro(Europa)
Norway;Norwegen(Europa)
Poland;Polen(Europa)
Portugal;Portugal(Europa)
Romania;Rumänien(Europa)
Russia;Russland(Europa)
San Marino;San Marino(Europa)
Serbia;Serbien(Europa)
Slovakia;die Slowakei(Europa)
Slovenia;Slowenien(Europa)
Spain;Spanien(Europa)
Sweden;Schweden(Europa)
Switzerland;Schweiz(Europa)
The Netherlands;Niederlande(Europa)
The Ukraine;Ukraine(Europa)
Turkey;Türkei(Europa)
United Kingdom;das Vereinigte Königreich(Europa)
Vatican City;Der Vatikan, Vatikanstadt(Europa)
Antigua and Barbuda;Antigua und Barbuda
Argentina;Argentinien(Amerikanische Nationen)
Bahamas;Bahamas(Amerikanische Nationen)
Barbados;Barbados(Amerikanische Nationen)
Belize;Belize(Amerikanische Nationen)
Bolivia;Bolivien(Amerikanische Nationen)
Brazil;Brasilien(Amerikanische Nationen)
Canada;Kanada(Amerikanische Nationen)
Colombia;Kolumbien(Amerikanische Nationen)
Costa Rica;Costa Rica(Amerikanische Nationen)
Cuba;Kuba(Amerikanische Nationen)
Chile;Chile(Amerikanische Nationen)
Dominica;Dominica(Amerikanische Nationen)
Dominican Republic;die Dominikanische Republik(Amerikanische Nationen)
Ecuador;Ecuador(Amerikanische Nationen)
El Salvador;El Salvador(Amerikanische Nationen)
Greenland;Grönland(Amerikanische Nationen)
Grenada;Grenada(Amerikanische Nationen)
Guatemala;Guatemala(Amerikanische Nationen)
Guyana;Guyana(Amerikanische Nationen)
Haiti;Haiti(Amerikanische Nationen)
Honduras;Honduras(Amerikanische Nationen)
Jamaica;Jamaika(Amerikanische Nationen)
Mexico;Mexico(Amerikanische Nationen)
Nicaragua;Nicaragua(Amerikanische Nationen)
Panama;Panama(Amerikanische Nationen)
Paraguay;Paraguay(Amerikanische Nationen)
Peru;Peru(Amerikanische Nationen)
Saint Vincent and the Grenadines;St. Vincent und die Grenadinen(Amerikanische Nationen)
St. Kitts und Nevis;St. Kitts und Nevis(Amerikanische Nationen)
Suriname;Surinam(Amerikanische Nationen)
Trinidad and Tobago;Trinidad und Tobago(Amerikanische Nationen)
Uruguay;Uruguay(Amerikanische Nationen)
USA (United States of America);die Vereinigten Staaten(Amerikanische Nationen)
Venezuela;Venezuela(Amerikanische Nationen)
Algeria;Algerien(Afrikanische Nationen)
Angola;Angola(Afrikanische Nationen)
Benin;Benin(Afrikanische Nationen)
Botswana;Botsuana(Afrikanische Nationen)
Burkina Faso;Burkina Faso(Afrikanische Nationen)
Burundi;Burundi(Afrikanische Nationen)
Cameroon;Kamerun(Afrikanische Nationen)
Cape Verde Islands;die Kapverdischen Inseln(Afrikanische Nationen)
Central African Republic;die Zentralafrikanische Republik(Afrikanische Nationen)
Comoros	;die Komoren(Afrikanische Nationen)
Congo;der Kongo(Afrikanische Nationen)
Chad;der Tschad(Afrikanische Nationen)
Egypt;Ägypten(Afrikanische Nationen)
Equatorial Guinea;Äquatorialguinea(Afrikanische Nationen)
Eritrea;Eritrea(Afrikanische Nationen)
Ethiopia;Äthiopien(Afrikanische Nationen)
Gabon;Gabun(Afrikanische Nationen)
Gambia;Gambia(Afrikanische Nationen)
Ghana;Ghana(Afrikanische Nationen)
Guinea;Guinea(Afrikanische Nationen)
Guinea-Bissau;Guinea-Bissau(Afrikanische Nationen)
Ivory Coast;die Elfenbeinküste(Afrikanische Nationen)
Kenya;Kenia(Afrikanische Nationen)
Lesotho;Lesotho(Afrikanische Nationen)
Liberia;Liberia(Afrikanische Nationen)
Libya;Libyen(Afrikanische Nationen)
Madagascar;Madagaskar(Afrikanische Nationen)
Malawi;Malawi(Afrikanische Nationen)
Mali;Mali(Afrikanische Nationen)
Mauritania;Mauretanien(Afrikanische Nationen)
Mauritius;Mauritius(Afrikanische Nationen)
Morocco;Marokko(Afrikanische Nationen)
Mozambique;Mosambik(Afrikanische Nationen)
Namibia;Namibia(Afrikanische Nationen)
Niger;Niger(Afrikanische Nationen)
Nigeria;Nigeria(Afrikanische Nationen)
Rwanda;Ruanda(Afrikanische Nationen)
Senegal;Senegal(Afrikanische Nationen)
Seychelles;die Seychellen(Afrikanische Nationen)
Sierra Leone;Sierra Leone(Afrikanische Nationen)
Somalia;Somalia(Afrikanische Nationen)
South Africa;Südafrika(Afrikanische Nationen)
Sudan;der Sudan(Afrikanische Nationen)
Swaziland;Swasiland(Afrikanische Nationen)
Tanzania;Tansania(Afrikanische Nationen)
Togo;Togo(Afrikanische Nationen)
Tunisia;Tunesien(Afrikanische Nationen)
Uganda;Uganda(Afrikanische Nationen)
Zambia;Sambia(Afrikanische Nationen)
Zimbabwe;Simbabwe(Afrikanische Nationen)
Laos;Laos(Asiatische Nationen)
Lebanon;der Libanon(Asiatische Nationen)
Afghanistan;Afghanistan(Asiatische Nationen)
Armenia;Armenien(Asiatische Nationen)
Azerbaijan;Aserbaidschan(Asiatische Nationen)
Bahrain;Bahrain(Asiatische Nationen)
Bangladesh;Bangladesch(Asiatische Nationen)
Brunei;Brunei(Asiatische Nationen)
Cambodia;Kambodscha(Asiatische Nationen)
China;China(Asiatische Nationen)
East Timor;Timor-Leste(Asiatische Nationen)
Georgia;Georgien(Asiatische Nationen)
India;Indien(Asiatische Nationen)
Indonesia;Indonesien(Asiatische Nationen)
Iran;der Iran(Asiatische Nationen)
Iraq;der Irak(Asiatische Nationen)
Israel;Israel(Asiatische Nationen)
Japan;Japan(Asiatische Nationen)
Jordan;Jordanien(Asiatische Nationen)
Kazakhstan;Kasachstan(Asiatische Nationen)
Kuwait;Kuwait(Asiatische Nationen)
Kyrgyzstan;Kirgisistan(Asiatische Nationen)
Malaysia;Malaysia(Asiatische Nationen)
Maldives;die Malediven(Asiatische Nationen)
Mongolia;die Mongolei(Asiatische Nationen)
Myanmar;Myanmar(Asiatische Nationen)
Nepal;Nepal(Asiatische Nationen)
North Korea;Nordkorea(Asiatische Nationen)
Oman;der Oman(Asiatische Nationen)
Pakistan;Pakistan(Asiatische Nationen)
Philippines;die Philippinen(Asiatische Nationen)
Qatar;Katar(Asiatische Nationen)
Saudia Arabia;Saudi-Arabien(Asiatische Nationen)
Singapore;Singapur(Asiatische Nationen)
South Korea;Südkorea(Asiatische Nationen)
Sri Lanka;Sri Lanka(Asiatische Nationen)
Syria;Syrien(Asiatische Nationen)
Thailand;Thailand(Asiatische Nationen)
United Arab Emirates;Vereinigte Arabische Emirate(Asiatische Nationen)
Uzbekistan;Usbekistan(Asiatische Nationen)
Vietnam;Vietnam(Asiatische Nationen)
Yemen;der Jemen(Asiatische Nationen)
Australia;Australien(Ozeanien)
Cook Islands;die Cookinseln(Ozeanien)
Marshall Islands;die Marshallinseln(Ozeanien)
Solomon Islands;die Salomonen(Ozeanien)
Kiribati;Kiribati(Ozeanien)
Micronesia;Mikronesien(Ozeanien)
Nauru;Nauru(Ozeanien)
New Zealand;Neuseeland(Ozeanien)
Niue;Niue(Ozeanien)
Palau;Palau(Ozeanien)
Papua New Guinea;Papua-Neuguinea(Ozeanien)
Samoa;Samoa(Ozeanien)
Tonga;Tonga(Ozeanien)
Tuvalu;Tuvalu(Ozeanien)
Vanuatu;Vanuatu(Ozeanien)
